Image,Classification,Damage,Whole,Front,Rear,Side,Minor,Major,Severe
dmg_0001,['Damage'],1,0,0,0,0,0,0,0
dmg_0002,['Damage'],1,0,0,0,0,0,0,0
dmg_0003,['Damage'],1,0,0,0,0,0,0,0
dmg_0004,['Damage'],1,0,0,0,0,0,0,0
dmg_0005,['Damage'],1,0,0,0,0,0,0,0
dmg_0006,['Damage'],1,0,0,0,0,0,0,0
dmg_0007,['Damage'],1,0,0,0,0,0,0,0
dmg_0008,['Damage'],1,0,0,0,0,0,0,0
dmg_0009,['Damage'],1,0,0,0,0,0,0,0
dmg_0010,['Damage'],1,0,0,0,0,0,0,0
dmg_0011,['Damage'],1,0,0,0,0,0,0,0
dmg_0012,['Damage'],1,0,0,0,0,0,0,0
dmg_0013,['Damage'],1,0,0,0,0,0,0,0
dmg_0014,['Damage'],1,0,0,0,0,0,0,0
dmg_0015,['Damage'],1,0,0,0,0,0,0,0
dmg_0016,['Damage'],1,0,0,0,0,0,0,0
dmg_0017,['Damage'],1,0,0,0,0,0,0,0
dmg_0018,['Damage'],1,0,0,0,0,0,0,0
dmg_0019,['Damage'],1,0,0,0,0,0,0,0
dmg_0020,['Damage'],1,0,0,0,0,0,0,0
dmg_0021,['Damage'],1,0,0,0,0,0,0,0
dmg_0022,['Damage'],1,0,0,0,0,0,0,0
dmg_0023,['Damage'],1,0,0,0,0,0,0,0
dmg_0024,['Damage'],1,0,0,0,0,0,0,0
dmg_0025,['Damage'],1,0,0,0,0,0,0,0
dmg_0026,['Damage'],1,0,0,0,0,0,0,0
dmg_0027,['Damage'],1,0,0,0,0,0,0,0
dmg_0028,['Damage'],1,0,0,0,0,0,0,0
dmg_0029,['Damage'],1,0,0,0,0,0,0,0
dmg_0030,['Damage'],1,0,0,0,0,0,0,0
dmg_0031,['Damage'],1,0,0,0,0,0,0,0
dmg_0032,['Damage'],1,0,0,0,0,0,0,0
dmg_0033,['Damage'],1,0,0,0,0,0,0,0
dmg_0034,['Damage'],1,0,0,0,0,0,0,0
dmg_0035,['Damage'],1,0,0,0,0,0,0,0
dmg_0036,['Damage'],1,0,0,0,0,0,0,0
dmg_0037,['Damage'],1,0,0,0,0,0,0,0
dmg_0038,['Damage'],1,0,0,0,0,0,0,0
